T,0.000766494,0.001177943,-4936.1,44.8,0.0248,24.83,,
T,0.000978101,0.001335367,-4935.2,36.6,0.0541,29.23,,
T,0.001136818,0.001546054,-4934.0,53.0,0.0834,29.29,,
T,0.001295546,0.001756753,-4932.8,53.0,0.1126,29.29,,
T,0.001454284,0.001861629,-4932.1,33.5,0.1337,21.08,,
T,0.001665952,0.002019113,-4931.1,36.6,0.1630,29.24,,
T,0.001824715,0.002124006,-4930.4,33.5,0.1841,21.08,,
T,0.002036416,0.002281515,-4929.3,36.6,0.2133,29.25,,
T,0.002248134,0.002386105,-4928.4,26.3,0.2394,26.15,,
T,0.002459867,0.002490733,-4927.6,26.3,0.2656,26.15,,
T,0.002618689,0.002648573,-4926.4,44.8,0.2904,24.84,,
T,0.002777514,0.002859374,-4925.3,53.0,0.3197,29.31,,
T,0.002989298,0.002964012,-4925.0,26.3,0.3459,26.15,,
T,0.003148148,0.003121900,-4924.5,44.8,0.3708,24.85,,
T,0.003359966,0.003226559,-4924.1,26.3,0.3969,26.16,,
T,0.003571802,0.003331228,-4923.8,26.3,0.4231,26.16,,
T,0.003783659,0.003382960,-4923.6,13.7,0.4472,24.12,,
T,0.003995534,0.003434697,-4923.4,13.7,0.4713,24.13,,
T,0.004260404,0.003539087,-4923.0,21.5,0.5028,31.51,,
T,0.004472320,0.003643790,-4922.6,26.3,0.5290,26.17,,
T,0.004684256,0.003748500,-4922.2,26.3,0.5552,26.17,,
T,0.004896211,0.003800261,-4922.0,13.7,0.5793,24.13,,
T,0.005108185,0.003852032,-4921.8,13.7,0.6034,24.14,,
T,0.005267178,0.003904101,-4921.7,18.1,0.6220,18.51,,
T,0.005532187,0.004061508,-4921.1,30.7,0.6561,34.14,,
T,0.005744217,0.004219215,-4920.9,36.6,0.6854,29.29,,
T,0.005903250,0.004377233,-4920.5,44.8,0.7103,24.87,,
T,0.006115312,0.004534971,-4920.3,36.6,0.7396,29.29,,
T,0.006380418,0.004692429,-4920.1,30.7,0.7737,34.15,,
T,0.006592524,0.004797220,-4920.0,26.3,0.7999,26.19,,
T,0.006804649,0.004902024,-4920.0,26.3,0.8261,26.20,,
T,0.007069834,0.005006548,-4920.0,21.5,0.8577,31.55,,
T,0.007282001,0.005111369,-4919.9,26.3,0.8839,26.20,,
T,0.007494190,0.005163213,-4920.0,13.7,0.9080,24.16,,
T,0.007759453,0.005214781,-4920.2,11.0,0.9379,29.89,,
T,0.008024747,0.005266354,-4920.3,11.0,0.9678,29.89,,
T,0.008183938,0.005265506,-4920.5,359.7,0.9854,17.60,,
T,0.008449279,0.005317087,-4920.8,11.0,1.0153,29.90,,
T,0.008767726,0.005421389,-4921.1,18.1,1.0524,37.08,,
T,0.009033129,0.005525985,-4921.3,21.5,1.0839,31.57,,
T,0.009351659,0.005524306,-4921.9,359.7,1.1192,35.22,,
T,0.009564032,0.005629199,-4922.1,26.3,1.1454,26.23,,
T,0.009882629,0.005733544,-4922.6,18.1,1.1825,37.09,,
T,0.010095052,0.005785444,-4922.9,13.7,1.2067,24.19,,
T,0.010307494,0.005837351,-4923.2,13.7,1.2309,24.19,,
T,0.010573073,0.005888987,-4923.6,11.0,1.2608,29.92,,
T,0.010785559,0.005940903,-4923.9,13.7,1.2850,24.20,,
T,0.011051192,0.005992548,-4924.3,11.0,1.3149,29.93,,
T,0.011210585,0.006044748,-4924.4,18.1,1.3335,18.56,,
T,0.011529446,0.006096048,-4924.7,9.1,1.3692,35.72,,
T,0.011688877,0.006095220,-4924.9,359.7,1.3868,17.63,,
T,0.012060924,0.006146327,-4925.3,7.8,1.4283,41.53,,
T,0.012379870,0.006144675,-4925.7,359.7,1.4636,35.27,,
T,0.012645693,0.006143300,-4926.0,359.7,1.4930,29.39,,
T,0.012858369,0.006195241,-4926.2,13.7,1.5172,24.22,,
T,0.013071067,0.006194143,-4926.5,359.7,1.5407,23.52,,
