T,0.032986986,0.001458771,-4930.7,134.9,0.0301,30.15,,
T,0.032891026,0.001602160,-4930.8,123.8,0.0493,19.17,,
T,0.032747122,0.001793606,-4931.0,126.9,0.0759,26.60,,
T,0.032507337,0.002128322,-4931.3,125.6,0.1216,45.73,,
T,0.032267648,0.002415753,-4931.6,129.8,0.1632,41.55,,
T,0.032123858,0.002701357,-4931.9,116.7,0.1987,35.55,,
T,0.031836385,0.003130922,-4932.1,123.8,0.2562,57.42,,
T,0.031644806,0.003417203,-4932.2,123.8,0.2944,38.27,,
T,0.031549028,0.003607458,-4932.2,116.7,0.3181,23.68,,
T,0.031405375,0.004034203,-4932.4,108.6,0.3682,50.09,,
T,0.031261778,0.004225189,-4932.5,126.9,0.3947,26.54,,
T,0.031166059,0.004368204,-4932.5,123.8,0.4138,19.12,,
T,0.031022502,0.004653375,-4932.6,116.7,0.4493,35.49,,
T,0.030831148,0.004939272,-4932.7,123.8,0.4876,38.22,,
T,0.030639834,0.005319315,-4932.8,116.7,0.5349,47.30,,
T,0.030496402,0.005462956,-4932.9,135.0,0.5574,22.52,,
T,0.030305204,0.005654431,-4932.8,135.0,0.5874,30.02,,
T,0.030114066,0.005798759,-4932.8,142.9,0.6139,26.55,,
T,0.029875225,0.005896716,-4932.8,157.7,0.6425,28.57,,
T,0.029540979,0.006090281,-4932.7,149.9,0.6853,42.78,,
T,0.029302328,0.006282278,-4932.7,141.2,0.7193,33.96,,
T,0.029159171,0.006425681,-4932.6,135.0,0.7417,22.48,,
T,0.028920649,0.006617565,-4932.6,141.2,0.7757,33.94,,
T,0.028777575,0.006760892,-4932.6,134.9,0.7981,22.47,,
T,0.028539188,0.006905626,-4932.5,148.7,0.8290,30.89,,
T,0.028300886,0.007050311,-4932.5,148.7,0.8599,30.88,,
T,0.028062666,0.007194944,-4932.4,148.7,0.8908,30.87,,
T,0.027776907,0.007387247,-4932.3,146.1,0.9290,38.17,,
T,0.027538874,0.007484759,-4932.3,157.7,0.9574,28.47,,
T,0.027300918,0.007582242,-4932.3,157.7,0.9859,28.46,,
T,0.027063048,0.007679691,-4932.2,157.7,1.0143,28.45,,
T,0.026825258,0.007777106,-4932.2,157.7,1.0428,28.44,,
T,0.026540015,0.007922142,-4932.2,153.0,1.0782,35.43,,
T,0.026207388,0.008020837,-4932.1,163.5,1.1166,38.39,,
T,0.025874921,0.008119481,-4932.1,163.5,1.1550,38.37,,
T,0.025590079,0.008170469,-4932.1,169.9,1.1870,32.00,,
T,0.025352802,0.008173834,-4932.1,179.2,1.2132,26.24,,
T,0.025020751,0.008225462,-4932.1,171.2,1.2504,37.16,,
T,0.024831075,0.008275057,-4932.0,165.3,1.2721,21.69,,
T,0.024499277,0.008279738,-4932.0,179.2,1.3088,36.69,,
T,0.024262371,0.008329977,-4931.9,168.0,1.3355,26.79,,
T,0.024025551,0.008333309,-4931.9,179.2,1.3617,26.19,,
T,0.023883497,0.008335309,-4931.9,179.2,1.3774,15.71,,
T,0.023552153,0.008339972,-4931.8,179.2,1.4141,36.64,,
T,0.023410197,0.008341971,-4931.8,179.2,1.4298,15.70,,
T,0.023079079,0.008346632,-4931.7,179.2,1.4664,36.62,,
T,0.022748120,0.008351290,-4931.7,179.2,1.5030,36.60,,
T,0.022417316,0.008355954,-4931.6,179.2,1.5396,36.58,,
T,0.022322832,0.008357281,-4931.6,179.2,1.5500,10.45,,
T,0.021992235,0.008361930,-4931.5,179.2,1.5866,36.56,,
T,0.021709001,0.008365904,-4931.4,179.2,1.6179,31.32,,
T,0.021425882,0.008369878,-4931.3,179.2,1.6492,31.31,,
T,0.021142879,0.008373847,-4931.1,179.2,1.6805,31.30,,
T,0.020907132,0.008377156,-4931.0,179.2,1.7066,26.07,,
T,0.020577221,0.008381784,-4930.9,179.2,1.7431,36.48,,
T,0.020247465,0.008386412,-4930.7,179.2,1.7795,36.47,,
T,0.020106190,0.008388393,-4930.6,179.2,1.7952,15.62,,
T,0.019682538,0.008394338,-4930.4,179.2,1.8420,46.85,,
T,0.019353210,0.008398960,-4930.3,179.2,1.8784,36.42,,
T,0.019024041,0.008356862,-4930.0,187.3,1.9151,36.70,,
T,0.018836016,0.008312797,-4929.9,193.2,1.9365,21.36,,
T,0.018601055,0.008269407,-4929.7,190.5,1.9629,26.43,,
T,0.018413145,0.008225363,-4929.6,193.2,1.9843,21.35,,
T,0.018272244,0.008227363,-4929.5,179.2,1.9998,15.58,,
T,0.017990530,0.008184671,-4929.3,188.6,2.0314,31.51,,
T,0.017802783,0.008187336,-4929.1,179.2,2.0521,20.76,,
T,0.017521260,0.008144667,-4928.9,188.6,2.0836,31.49,,
T,0.017239850,0.008148672,-4928.6,179.2,2.1147,31.12,,
T,0.017005429,0.008152009,-4928.5,179.2,2.1407,25.92,,
T,0.016771090,0.008108703,-4928.3,190.5,2.1670,26.36,,
T,0.016583673,0.008111378,-4928.1,179.2,2.1877,20.73,,
T,0.016255819,0.008116055,-4927.8,179.2,2.2240,36.26,,
T,0.016115356,0.008118059,-4927.7,179.2,2.2395,15.53,,
T,0.015928120,0.008074119,-4927.5,193.2,2.2608,21.27,,
T,0.015647359,0.008078134,-4927.2,179.2,2.2918,31.05,,
T,0.015413480,0.008034883,-4927.1,190.5,2.3181,26.31,,
T,0.015179678,0.008038235,-4926.8,179.2,2.3440,25.86,,
T,0.014945956,0.008041585,-4926.6,179.2,2.3699,25.85,,
T,0.014805761,0.008043596,-4926.5,179.2,2.3854,15.50,,
T,0.014478750,0.008048285,-4926.1,179.2,2.4215,36.16,,
T,0.014291955,0.008050962,-4926.0,179.2,2.4422,20.66,,
T,0.014011858,0.008054977,-4925.7,179.2,2.4731,30.97,,
T,0.013825191,0.008057654,-4925.5,179.2,2.4938,20.64,,
T,0.013638574,0.008060330,-4925.3,179.2,2.5144,20.64,,
T,0.013312116,0.008065011,-4924.9,179.2,2.5505,36.10,,
T,0.013032417,0.008069021,-4924.7,179.2,2.5815,30.93,,
T,0.012799421,0.008118869,-4924.4,167.9,2.6078,26.35,,
T,0.012613080,0.008168035,-4924.1,165.2,2.6291,21.32,,
T,0.012333665,0.008218515,-4923.8,169.8,2.6605,31.40,,
T,0.012054361,0.008315454,-4923.5,160.9,2.6933,32.71,,
T,0.011775174,0.008319410,-4923.2,179.2,2.7241,30.87,,
T,0.011496099,0.008369828,-4922.9,169.8,2.7555,31.36,,
T,0.011263618,0.008373146,-4922.7,179.2,2.7812,25.71,,
T,0.011031223,0.008376423,-4922.5,179.2,2.8069,25.70,,
T,0.010706002,0.008381008,-4922.1,179.2,2.8429,35.96,,
T,0.010427363,0.008384939,-4921.8,179.2,2.8737,30.81,,
T,0.010102427,0.008389519,-4921.5,179.2,2.9096,35.93,,
T,0.009824032,0.008393445,-4921.2,179.2,2.9404,30.79,,
T,0.009453015,0.008352283,-4920.8,186.3,2.9817,41.28,,
T,0.009267581,0.008354905,-4920.6,179.2,3.0022,20.51,,
T,0.009035859,0.008265421,-4920.2,201.1,3.0297,27.49,,
T,0.008850538,0.008268053,-4920.1,179.2,3.0502,20.49,,
T,0.008526344,0.008226294,-4919.7,187.3,3.0863,36.15,,
T,0.008248587,0.008230249,-4919.4,179.2,3.1170,30.72,,
T,0.007970940,0.008234202,-4919.2,179.2,3.1477,30.70,,
T,0.007832160,0.008236178,-4919.1,179.2,3.1631,15.35,,
T,0.007554682,0.008240131,-4918.9,179.2,3.1938,30.69,,
T,0.007277316,0.008244081,-4918.7,179.2,3.2244,30.67,,
T,0.007046264,0.008247371,-4918.6,179.2,3.2500,25.55,,
T,0.006815288,0.008204356,-4918.4,190.6,3.2760,25.98,,
T,0.006353572,0.008210948,-4918.1,179.2,3.3270,51.06,,
T,0.005984422,0.008216217,-4917.8,179.2,3.3679,40.82,,
T,0.005753804,0.008219510,-4917.7,179.2,3.3934,25.50,,
T,0.005477164,0.008223460,-4917.5,179.2,3.4240,30.59,,
T,0.005292800,0.008318591,-4917.8,152.7,3.4469,22.97,,
T,0.005062413,0.008321856,-4917.9,179.2,3.4724,25.48,,
T,0.004832104,0.008417595,-4918.3,157.4,3.5000,27.61,,
T,0.004693956,0.008465777,-4918.5,160.8,3.5162,16.19,,
T,0.004463771,0.008561465,-4918.9,157.4,3.5438,27.59,,
T,0.004187650,0.008657762,-4919.2,160.8,3.5762,32.36,,
T,0.003911642,0.008754022,-4919.7,160.8,3.6085,32.35,,
T,0.003727696,0.008802775,-4919.9,165.2,3.6295,21.05,,
T,0.003543801,0.008851513,-4920.1,165.2,3.6506,21.05,,
T,0.003314000,0.008854684,-4920.3,179.2,3.6760,25.41,,
T,0.003130216,0.008857221,-4920.4,179.2,3.6963,20.32,,
T,0.002946479,0.008905929,-4920.6,165.2,3.7174,21.03,,
T,0.002716881,0.008955259,-4920.9,167.9,3.7433,25.97,,
T,0.002441461,0.008959042,-4921.3,179.2,3.7738,30.46,,
