day,month,year,hour,minute,second,curLat,curLon,wpLat,wpLon,heading
18,4,2015,9,15,44,59.128757,10.272140,59.129719,10.270597,320.581604
18,4,2015,9,15,45,59.128792,10.272083,59.129719,10.270597,320.612610
18,4,2015,9,15,46,59.128830,10.272023,59.129719,10.270597,320.497833
18,4,2015,9,15,47,59.128864,10.271963,59.129719,10.270597,320.598267
18,4,2015,9,15,48,59.128895,10.271900,59.129719,10.270597,321.013550
18,4,2015,9,15,49,59.128937,10.271838,59.129719,10.270597,320.961090
18,4,2015,9,15,50,59.128971,10.271771,59.129719,10.270597,321.260284
18,4,2015,9,15,51,59.129013,10.271707,59.129719,10.270597,321.010132
18,4,2015,9,15,52,59.129044,10.271642,59.129719,10.270597,321.586914
18,4,2015,9,15,53,59.129086,10.271577,59.130024,10.270383,326.987152
18,4,2015,9,15,54,59.129124,10.271508,59.130024,10.270383,327.364929
18,4,2015,9,15,55,59.129158,10.271440,59.130024,10.270383,327.986328
18,4,2015,9,15,56,59.129189,10.271370,59.130024,10.270383,328.919464
18,4,2015,9,15,57,59.129230,10.271305,59.130024,10.270383,329.373352
18,4,2015,9,15,58,59.129265,10.271236,59.130024,10.270383,330.202606
18,4,2015,9,15,59,59.129307,10.271170,59.130352,10.270185,334.223938
18,4,2015,9,16,0,59.129345,10.271098,59.130352,10.270185,335.144073
18,4,2015,9,16,1,59.129387,10.271029,59.130352,10.270185,335.973267
18,4,2015,9,16,2,59.129436,10.270960,59.130352,10.270185,336.533752
18,4,2015,9,16,3,59.129482,10.270890,59.130352,10.270185,337.541046
18,4,2015,9,16,4,59.129532,10.270825,59.130352,10.270185,338.183105
18,4,2015,9,16,5,59.129581,10.270765,59.130646,10.269927,338.014984
18,4,2015,9,16,6,59.129639,10.270710,59.130646,10.269927,338.328217
18,4,2015,9,16,7,59.129696,10.270660,59.130646,10.269927,338.379303
18,4,2015,9,16,8,59.129753,10.270614,59.130646,10.269927,338.514252
18,4,2015,9,16,9,59.129807,10.270572,59.130646,10.269927,338.511688
18,4,2015,9,16,10,59.129864,10.270532,59.130646,10.269927,338.453430
18,4,2015,9,16,11,59.129925,10.270494,59.130932,10.269392,330.794403
18,4,2015,9,16,12,59.129978,10.270460,59.130932,10.269392,330.183533
18,4,2015,9,16,13,59.130047,10.270425,59.130932,10.269392,329.165192
18,4,2015,9,16,14,59.130093,10.270389,59.130932,10.269392,328.657898
18,4,2015,9,16,15,59.130150,10.270355,59.130932,10.269392,327.827026
18,4,2015,9,16,16,59.130207,10.270329,59.130932,10.269392,326.673950
18,4,2015,9,16,17,59.130257,10.270300,59.131104,10.268907,319.832825
18,4,2015,9,16,18,59.130295,10.270273,59.131104,10.268907,319.228668
18,4,2015,9,16,19,59.130348,10.270255,59.131104,10.268907,317.625244
18,4,2015,9,16,20,59.130386,10.270260,59.131104,10.268907,315.928162
18,4,2015,9,16,21,59.130428,10.270313,59.131104,10.268907,313.144745
18,4,2015,9,16,22,59.130444,10.270389,59.131104,10.268907,311.063599
18,4,2015,9,16,23,59.130451,10.270475,59.131104,10.268907,309.174835
18,4,2015,9,16,24,59.130444,10.270567,59.131104,10.268907,307.883667
18,4,2015,9,16,25,59.130444,10.270665,59.131104,10.268907,306.286530
18,4,2015,9,16,26,59.130436,10.270765,59.131104,10.268907,305.065643
18,4,2015,9,16,27,59.130428,10.270862,59.131104,10.268907,303.983521
18,4,2015,9,16,28,59.130428,10.270960,59.131104,10.268907,302.694733
18,4,2015,9,16,29,59.130417,10.271051,59.131104,10.268907,302.084991
18,4,2015,9,16,30,59.130417,10.271143,59.131104,10.268907,301.019409
18,4,2015,9,16,31,59.130413,10.271235,59.131104,10.268907,300.015900
18,4,2015,9,16,32,59.130402,10.271323,59.131104,10.268907,299.575348
18,4,2015,9,16,33,59.130394,10.271412,59.131104,10.268907,298.929840
18,4,2015,9,16,34,59.130394,10.271493,59.131104,10.268907,298.163513
18,4,2015,9,16,35,59.130386,10.271573,59.131104,10.268907,297.666016
18,4,2015,9,16,36,59.130386,10.271646,59.131104,10.268907,297.030975
18,4,2015,9,16,37,59.130379,10.271724,59.131104,10.268907,296.611572
18,4,2015,9,16,38,59.130371,10.271798,59.131104,10.268907,296.436829
18,4,2015,9,16,39,59.130371,10.271876,59.131104,10.268907,295.836182
18,4,2015,9,16,40,59.130363,10.271955,59.131104,10.268907,295.452362
18,4,2015,9,16,41,59.130352,10.272034,59.131104,10.268907,295.097778
18,4,2015,9,16,42,59.130348,10.272112,59.131104,10.268907,294.752686
18,4,2015,9,16,43,59.130337,10.272195,59.131104,10.268907,294.586395
18,4,2015,9,16,44,59.130329,10.272277,59.131104,10.268907,294.245453
18,4,2015,9,16,45,59.130322,10.272360,59.131104,10.268907,293.913727
18,4,2015,9,16,46,59.130314,10.272444,59.131104,10.268907,293.585815
18,4,2015,9,16,47,59.130295,10.272530,59.131104,10.268907,293.621216
18,4,2015,9,16,48,59.130287,10.272618,59.131104,10.268907,293.289734
18,4,2015,9,16,49,59.130280,10.272707,59.131104,10.268907,292.972198
18,4,2015,9,16,50,59.130272,10.272794,59.131104,10.268907,292.676697
18,4,2015,9,16,51,59.130257,10.272882,59.131104,10.268907,292.556854
18,4,2015,9,16,52,59.130241,10.272970,59.131104,10.268907,292.593628
18,4,2015,9,16,53,59.130230,10.273057,59.131104,10.268907,292.323395
18,4,2015,9,16,54,59.130222,10.273140,59.131104,10.268907,292.083374
18,4,2015,9,16,55,59.130215,10.273223,59.131104,10.268907,291.851776
18,4,2015,9,16,56,59.130207,10.273305,59.131104,10.268907,291.781738
18,4,2015,9,16,57,59.130215,10.273383,59.131104,10.268907,291.138641
18,4,2015,9,16,58,59.130222,10.273454,59.131104,10.268907,290.691101
18,4,2015,9,16,59,59.130241,10.273514,59.131104,10.268907,290.153809
18,4,2015,9,17,0,59.130264,10.273563,59.131104,10.268907,289.375519
18,4,2015,9,17,1,59.130295,10.273600,59.131104,10.268907,288.653595
18,4,2015,9,17,2,59.130329,10.273620,59.131104,10.268907,287.851105
18,4,2015,9,17,3,59.130363,10.273626,59.131104,10.268907,287.091614
18,4,2015,9,17,4,59.130402,10.273613,59.131104,10.268907,286.246124
18,4,2015,9,17,5,59.130436,10.273585,59.131104,10.268907,285.582458
