$GPRMC,091528.000,A,5907.6881,N,01016.3502,E,8.87,17.07,180415,,,A*58
$GPRMC,091529.000,A,5907.6905,N,01016.3519,E,9.23,21.04,180415,,,A*57
$GPRMC,091530.000,A,5907.6930,N,01016.3539,E,9.86,21.53,180415,,,A*56
$GPRMC,091531.000,A,5907.6956,N,01016.3558,E,9.80,20.56,180415,,,A*52
$GPRMC,091532.000,A,5907.6982,N,01016.3574,E,9.75,12.52,180415,,,A*59
$GPRMC,091533.000,A,5907.7009,N,01016.3581,E,10.18,0.84,180415,,,A*52
$GPRMC,091534.000,A,5907.7037,N,01016.3575,E,9.73,347.01,180415,,,A*6B
$GPRMC,091535.000,A,5907.7062,N,01016.3559,E,9.29,335.46,180415,,,A*6D
$GPRMC,091536.000,A,5907.7084,N,01016.3535,E,9.35,328.84,180415,,,A*63
$GPRMC,091537.000,A,5907.7106,N,01016.3506,E,9.56,325.69,180415,,,A*62
$GPRMC,091538.000,A,5907.7128,N,01016.3476,E,9.55,324.83,180415,,,A*61
$GPRMC,091539.000,A,5907.7150,N,01016.3446,E,9.38,323.53,180415,,,A*6D
$GPRMC,091540.000,A,5907.7171,N,01016.3415,E,9.41,323.24,180415,,,A*68
$GPRMC,091541.000,A,5907.7192,N,01016.3384,E,9.65,322.73,180415,,,A*6E
$GPRMC,091542.000,A,5907.7214,N,01016.3351,E,9.66,321.48,180415,,,A*60
$GPRMC,091543.000,A,5907.7235,N,01016.3318,E,9.63,320.77,180415,,,A*67
$GPRMC,091544.000,A,5907.7256,N,01016.3285,E,9.68,320.44,180415,,,A*6B
$GPRMC,091545.000,A,5907.7277,N,01016.3250,E,10.22,319.46,180415,,,A*5F
$GPRMC,091546.000,A,5907.7298,N,01016.3214,E,10.05,318.52,180415,,,A*5C
$GPRMC,091547.000,A,5907.7319,N,01016.3178,E,9.99,318.44,180415,,,A*66

$GPRMC,091548.000,A,5907.7341,N,01016.3141,E,10.27,318.52,180415,,,A*54
$GPRMC,091549.000,A,5907.7362,N,01016.3103,E,10.74,318.72,180415,,,A*56
$GPRMC,091550.000,A,5907.7385,N,01016.3064,E,10.78,319.11,180415,,,A*5F
$GPRMC,091551.000,A,5907.7407,N,01016.3025,E,10.50,319.53,180415,,,A*5A
$GPRMC,091552.000,A,5907.7428,N,01016.2986,E,11.03,319.56,180415,,,A*57
$GPRMC,091553.000,A,5907.7451,N,01016.2946,E,11.37,319.37,180415,,,A*54
$GPRMC,091554.000,A,5907.7474,N,01016.2905,E,11.00,318.70,180415,,,A*55
$GPRMC,091555.000,A,5907.7496,N,01016.2865,E,10.97,317.98,180415,,,A*59
$GPRMC,091556.000,A,5907.7516,N,01016.2823,E,10.54,317.58,180415,,,A*52
$GPRMC,091557.000,A,5907.7538,N,01016.2783,E,10.97,317.89,180415,,,A*59
$GPRMC,091558.000,A,5907.7561,N,01016.2743,E,11.32,318.38,180415,,,A*5D
$GPRMC,091559.000,A,5907.7584,N,01016.2702,E,11.25,318.70,180415,,,A*58
$GPRMC,091600.000,A,5907.7608,N,01016.2660,E,11.81,319.04,180415,,,A*59
$GPRMC,091601.000,A,5907.7634,N,01016.2618,E,12.32,319.62,180415,,,A*53
$GPRMC,091602.000,A,5907.7661,N,01016.2576,E,12.37,320.55,180415,,,A*50
$GPRMC,091603.000,A,5907.7689,N,01016.2535,E,12.96,322.33,180415,,,A*59
$GPRMC,091604.000,A,5907.7720,N,01016.2495,E,12.98,323.29,180415,,,A*53
$GPRMC,091605.000,A,5907.7751,N,01016.2459,E,13.16,324.23,180415,,,A*5E
$GPRMC,091606.000,A,5907.7783,N,01016.2426,E,12.92,325.11,180415,,,A*57
$GPRMC,091607.000,A,5907.7816,N,01016.2396,E,12.93,325.98,180415,,,A*59
$GPRMC,091608.000,A,5907.7850,N,01016.2368,E,13.14,326.88,180415,,,A*59
$GPRMC,091609.000,A,5907.7885,N,01016.2344,E,13.34,328.11,180415,,,A*52
$GPRMC,091610.000,A,5907.7920,N,01016.2320,E,13.36,329.16,180415,,,A*52
$GPRMC,091611.000,A,5907.7955,N,01016.2297,E,13.09,330.20,180415,,,A*5D
$GPRMC,091612.000,A,5907.7990,N,01016.2276,E,13.14,331.24,180415,,,A*51
$GPRMC,091613.000,A,5907.8025,N,01016.2255,E,13.12,332.25,180415,,,A*5D
$GPRMC,091614.000,A,5907.8059,N,01016.2234,E,12.70,333.21,180415,,,A*56
$GPRMC,091615.000,A,5907.8092,N,01016.2214,E,12.14,334.08,180415,,,A*5C
$GPRMC,091616.000,A,5907.8123,N,01016.2197,E,11.33,334.92,180415,,,A*59
$GPRMC,091617.000,A,5907.8152,N,01016.2180,E,10.80,335.71,180415,,,A*5D
$GPRMC,091618.000,A,5907.8181,N,01016.2165,E,10.29,336.45,180415,,,A*50
$GPRMC,091619.000,A,5907.8208,N,01016.2154,E,9.56,349.14,180415,,,A*6D

$GPRMC,091620.000,A,5907.8234,N,01016.2157,E,8.80,11.38,180415,,,A*51

$GPRMC,091621.000,A,5907.8256,N,01016.2189,E,8.10,40.50,180415,,,A*54

$GPRMC,091622.000,A,5907.8267,N,01016.2234,E,8.75,68.16,180415,,,A*5B

$GPRMC,091623.000,A,5907.8272,N,01016.2285,E,9.52,86.15,180415,,,A*53

$GPRMC,091624.000,A,5907.8269,N,01016.2341,E,9.93,92.56,180415,,,A*58

$GPRMC,091625.000,A,5907.8266,N,01016.2400,E,10.18,95.65,180415,,,A*68
