curLat,curLon,wpLat,wpLon,heading
0.000766667,0.00117833,0,0.00887833,95.686
0.000978333,0.001335,0,0.00887833,97.3897
0.00113667,0.00154667,0,0.00887833,98.8127
0.00129333,0.00175667,0,0.00887833,100.293
0.001455,0.00186167,0,0.00887833,101.715
0.00166667,0.00201833,0,0.00887833,103.656
0.001825,0.00212333,0,0.00887833,105.119
0.00203667,0.00228,0,0.00887833,107.154
0.00224833,0.00238667,0,0.00887833,109.103
0.00246,0.00249,0,0.00887833,111.061
0.00261833,0.00264667,0,0.00887833,112.79
0.00277833,0.00286,0,0.00887833,114.78
0.00299,0.00296333,0,0.00887833,116.816
0.00314833,0.00312167,0,0.00887833,118.674
0.00336,0.00322667,0,0.00887833,120.732
0.00357167,0.00333167,0,0.00887833,122.779
0.00378333,0.00338333,0,0.00887833,124.548
0.003995,0.003435,0,0.00887833,126.276
0.00426,0.00353833,0,0.00887833,128.581
0.00447167,0.00364333,0,0.00887833,130.504
0.004685,0.00374833,0,0.00887833,132.404
0.00489667,0.0038,0,0.00887833,133.957
0.00510833,0.00385167,0,0.00887833,135.462
0.00526667,0.00390333,0,0.00887833,136.631
0.00553167,0.00406167,0,0.00887833,138.952
0.005745,0.00422,0,0.00887833,140.963
0.00590333,0.00437667,0,0.00887833,142.672
0.006115,0.004535,0,0.00887833,144.615
0.00638,0.00469167,0,0.00887833,146.726
0.00659333,0.00479667,0,0.00887833,148.24
0.006805,0.0049,0,0.00887833,149.689
0.00707,0.00500667,0,0.00887833,151.294
0.00728167,0.00511167,0,0.00887833,152.648
0.007495,0.00516333,0,0.00887833,153.634
0.00776,0.005215,0,0.00887833,154.729
0.008025,0.00526667,0,0.00887833,155.77
0.00818333,0.005265,0,0.00887833,156.176
0.00845,0.00531667,0,0.00887833,157.145
0.00876833,0.00542167,0,0.00887833,158.485
0.00903333,0.00552667,0,0.00887833,159.643
0.00935167,0.005525,0,0.00887833,160.273
0.00956333,0.00563,0,0.00887833,161.239
0.00988333,0.00573333,0.00887833,0.00888667,107.678
0.010095,0.005785,0.00887833,0.00888667,111.418
0.0103067,0.00583667,0.00887833,0.00888667,115.094
0.0105733,0.00588833,0.00887833,0.00888667,119.48
0.0107833,0.00594167,0.00887833,0.00888667,122.897
0.0110517,0.00599333,0.00887833,0.00888667,126.912
0.0112083,0.00604333,0.00887833,0.00888667,129.333
0.01153,0.00609667,0.00887833,0.00888667,133.544
0.0116883,0.006095,0.00887833,0.00888667,135.188
0.0120617,0.00614667,0.00887833,0.00888667,139.28
0.01238,0.006145,0.00887833,0.00888667,141.94
0.012645,0.00614333,0.00887833,0.00888667,143.933
0.0128583,0.006195,0.00887833,0.00888667,145.93
0.0130717,0.00619333,0.00887833,0.00888667,147.288
0.0132833,0.00624667,0.00887833,0.00888667,149.065
0.01355,0.00629833,0.00887833,0.00888667,151.011
0.0137617,0.00640333,0.00887833,0.00888667,153.045
0.0140283,0.006455,0.00887833,0.00888667,154.725
0.0142417,0.00655833,0.00887833,0.00888667,156.533
0.0144017,0.006665,0.00887833,0.00888667,158.088
0.0146667,0.00677,0.00887833,0.00888667,159.914
0.0148267,0.00698167,0.00887833,0.00888667,162.242
0.0149333,0.00714,0.00887833,0.00888667,163.909
0.015145,0.00729833,0.00887833,0.00888667,165.777
0.015305,0.00751,0.00887833,0.00888667,167.909
0.015465,0.00772167,0.00887833,0.00888667,169.97
0.015625,0.00788,0.00887833,0.00888667,171.514
0.0158383,0.00803833,0.01777,0.00888667,23.7097
0.0159967,0.00819667,0.01777,0.00888667,21.2609
0.0161567,0.008355,0.01777,0.00888667,18.2394
0.0163167,0.00851333,0.00887833,0.00888667,177.127
0.01653,0.00867,0.00887833,0.00888667,178.378
0.01669,0.00883,0.00887833,0.00888667,179.584
0.0169033,0.00898833,0.01777,0.00888667,353.309
0.017115,0.00914667,0.01777,0.00888667,338.35
0.0172217,0.00935833,0.01777,0.00888667,319.298
0.0173817,0.00946333,0.00887833,0.00888667,183.88
0.0175417,0.009675,0.00887833,0.00888667,185.199
0.0177017,0.00983167,0.00887833,0.00888667,186.113
0.0178617,0.00994,0.01777,0.00888667,265.026
0.0180217,0.0101517,0.01777,0.00888667,258.748
0.018235,0.01031,0.01777,0.00888667,251.908
0.018395,0.0104683,0.00887833,0.00888667,189.436
0.0186083,0.0105733,0.00887833,0.00888667,189.834
0.0188217,0.010625,0.00887833,0.00888667,189.916
0.0190333,0.0107833,0.01777,0.00888667,236.333
0.0192467,0.01089,0.01777,0.00888667,233.606
0.01946,0.010995,0.01777,0.00888667,231.285
0.01962,0.0111,0.00887833,0.00888667,191.643
0.0198333,0.011205,0.00887833,0.00888667,191.949
0.0199933,0.0112583,0.00887833,0.00888667,192.045
0.02026,0.0113633,0.01777,0.00888667,224.846
0.02058,0.011415,0.01777,0.00888667,221.98
0.0208983,0.0114667,0.01777,0.00888667,219.513
0.021275,0.0115183,0.01777,0.00888667,216.9
0.021595,0.01157,0.01777,0.00888667,215.051
0.021915,0.01157,0.01777,0.00888667,212.918
0.022235,0.0116217,0.01777,0.00888667,211.489
0.0226083,0.01162,0.01777,0.00888667,209.464
0.0228217,0.0116183,0.01777,0.00888667,208.402
0.02309,0.0116717,0.01777,0.00888667,207.632
0.0233033,0.0117233,0.01777,0.00888667,207.142
0.0235167,0.0117217,0.01777,0.00888667,206.258
0.0237833,0.011775,0.01777,0.00888667,205.656
0.0239433,0.0117733,0.01777,0.00888667,205.061
0.024265,0.0118783,0.01777,0.00888667,204.731
0.0245317,0.0119317,0.01777,0.00888667,204.244
0.0247983,0.0119833,0.02667,0.00888667,301.149
0.025065,0.0119817,0.02667,0.00888667,297.41
0.02528,0.0119817,0.02667,0.00888667,294.185
0.0255467,0.01198,0.02667,0.00888667,289.958
0.0257617,0.0120317,0.02667,0.00888667,286.11
0.0259217,0.0120317,0.02667,0.00888667,283.384
0.0261883,0.01203,0.02667,0.00888667,278.712
0.0264567,0.01203,0.02667,0.00888667,273.883
0.02667,0.0120283,0.02667,0.00888667,270
0.026885,0.0120283,0.02667,0.00888667,266.085
0.0270983,0.0120267,0.02667,0.00888667,262.232
0.02742,0.0120267,0.02667,0.00888667,256.566
0.0276867,0.012025,0.02667,0.00888667,252.05
0.0279,0.0120233,0.02667,0.00888667,248.588
0.0281683,0.0120767,0.02667,0.00888667,244.841
0.0283817,0.0121283,0.02667,0.00888667,242.165
0.02865,0.0121267,0.02667,0.00888667,238.57
0.028865,0.0121783,0.02667,0.00888667,236.303
0.0290783,0.0121783,0.02667,0.00888667,233.809
0.0292933,0.0122317,0.02667,0.00888667,231.894
0.0295067,0.0122833,0.02667,0.00888667,230.134
0.0297217,0.0122833,0.02667,0.00888667,228.063
0.029935,0.012335,0.02667,0.00888667,226.564
0.0302033,0.012335,0.02667,0.00888667,224.302
0.030525,0.0123333,0.02667,0.00888667,221.799
0.0307917,0.0123317,0.02667,0.00888667,219.89
0.03106,0.0123317,0.02667,0.00888667,218.123
0.0313817,0.01233,0.02667,0.00888667,216.16
0.0315967,0.0123283,0.02667,0.00888667,214.937
0.031865,0.0123283,0.02667,0.00888667,213.524
0.0321867,0.0123267,0.02667,0.00888667,211.946
0.0324533,0.012325,0.02667,0.00888667,210.733
0.0327217,0.012325,0.02667,0.00888667,209.604
0.03299,0.0123233,0.02667,0.00888667,208.536
0.033205,0.0123233,0.02667,0.00888667,207.739
0.0334733,0.0123217,0.02667,0.00888667,206.789
0.0336883,0.01232,0.02667,0.00888667,206.068
0.0339017,0.01232,0.02667,0.00888667,205.397
0.0341167,0.012425,0.02667,0.00888667,205.415
0.0342783,0.0125317,0.02667,0.00888667,205.598
0.0344933,0.01269,0.02667,0.00888667,205.927
0.0347067,0.0129033,0.02667,0.00888667,206.556
0.0349217,0.0130617,0.02667,0.00888667,206.838
0.0351367,0.0131683,0.02667,0.00888667,206.826
0.0352967,0.0132733,0.02667,0.00888667,206.953
0.0354583,0.01338,0.02667,0.00888667,207.08
0.03562,0.0135383,0.02667,0.00888667,207.463
0.0357817,0.0136983,0.02667,0.00888667,207.838
0.0359967,0.0138583,0.02667,0.00888667,208.06
0.0361567,0.0140167,0.02667,0.00888667,208.403
0.036265,0.0141767,0.02667,0.00888667,208.869
0.036425,0.0143883,0.02667,0.00888667,209.422
0.0365333,0.0145483,0.02667,0.00888667,209.856
0.036695,0.0148683,0.02667,0.00888667,210.823
0.0368533,0.0151867,0.02667,0.00888667,211.743
0.0369083,0.0154,0.02667,0.00888667,212.463
0.0370167,0.0156667,0.02667,0.00888667,213.236
0.03707,0.01588,0.02667,0.00888667,213.918
0.0371233,0.01604,0.02667,0.00888667,214.384
0.0371783,0.0163067,0.02667,0.00888667,215.226
0.0372833,0.0165717,0.02667,0.00888667,215.908
0.0373383,0.016785,0.02667,0.00888667,216.514
0.0373383,0.0169983,0.02667,0.00888667,217.248
0.0373383,0.01721,0.02667,0.00888667,217.961
0.0373917,0.0174783,0.02667,0.00888667,218.706
0.0373917,0.0176917,0.02667,0.00888667,219.394
0.0373917,0.017905,0.02667,0.00888667,220.068
0.0373917,0.0181183,0.02667,0.00888667,220.729
0.0373917,0.0182783,0.02667,0.00888667,221.217
0.0372833,0.018545,0.02667,0.00888667,222.303
0.0372317,0.0187583,0.02667,0.00888667,223.066
0.0371767,0.01897,0.02667,0.00888667,223.822
0.03707,0.019185,0.02667,0.00888667,224.719
0.0370167,0.0193983,0.02667,0.00888667,225.453
0.0368533,0.0197183,0.02667,0.00888667,226.767
0.0368017,0.0198783,0.02667,0.00888667,227.331
0.0366933,0.0200383,0.02667,0.00888667,228.05
0.0364783,0.0203067,0.02667,0.00888667,229.342
0.0363183,0.0204133,0.02667,0.00888667,230.069
0.0361033,0.0205733,0.02667,0.00888667,231.09
0.0358883,0.02068,0.02667,0.00888667,231.987
0.0356733,0.0207883,0.02667,0.00888667,232.893
0.0354583,0.0208417,0.02667,0.00888667,233.68
0.0352433,0.020895,0.02667,0.00888667,234.475
0.0350283,0.0210017,0.02667,0.00888667,235.398
0.0348133,0.0210533,0.02667,0.00888667,236.205
0.0346,0.0211617,0.02667,0.00888667,237.136
0.034385,0.02127,0.02667,0.00888667,238.076
0.03417,0.0213767,0.02667,0.00888667,239.016
0.0340083,0.02143,0.02667,0.00888667,239.671
0.033795,0.0214833,0.02667,0.00888667,240.506
0.03358,0.0215383,0.02667,0.00888667,241.358
0.033365,0.0215383,0.02667,0.00888667,242.113
0.03315,0.0215383,0.02667,0.00888667,242.879
0.0329367,0.0215383,0.02667,0.00888667,243.65
0.0326683,0.02154,0.02667,0.00888667,244.637
0.0324533,0.02154,0.02667,0.00888667,245.437
0.0321317,0.02154,0.02667,0.00888667,246.653
0.0318633,0.0215417,0.02667,0.00888667,247.688
0.031595,0.0214883,0.02667,0.00888667,248.653
0.0313817,0.021435,0.02667,0.00888667,249.42
0.0311667,0.0213833,0.02667,0.00888667,250.21
0.0308983,0.02133,0.02667,0.00888667,251.232
0.0306317,0.0212767,0.02667,0.00888667,252.268
0.0303633,0.021225,0.02667,0.00888667,253.336
0.0301483,0.0211183,0.02667,0.00888667,254.126
0.029935,0.0210117,0.02667,0.00888667,254.929
0.02972,0.0209583,0.02667,0.00888667,255.821
0.0295067,0.0209067,0.02667,0.00888667,256.721
0.0292383,0.0208533,0.02667,0.00888667,257.887
0.029025,0.0208017,0.02667,0.00888667,258.82
0.0287567,0.0207483,0.02667,0.00888667,260.023
0.0285417,0.020695,0.02667,0.00888667,260.993
0.0283283,0.0206433,0.02667,0.00888667,261.971
0.0280067,0.02059,0.02667,0.00888667,263.484
0.02774,0.0205383,0.02667,0.00888667,264.753
0.0275783,0.0205383,0.02667,0.00888667,265.542
0.0273117,0.0205383,0.02667,0.00888667,266.848
