curLat,curLon,wpLat,wpLon,heading
0.0329867,0.00145833,0,0,182.531
0.0328917,0.00160167,0.02667,0.00888667,130.499
0.0327467,0.00179333,0.02667,0.00888667,130.586
0.0325067,0.00212833,0.02667,0.00888667,130.815
0.0322683,0.002415,0.02667,0.00888667,130.862
0.0321233,0.00270167,0.02667,0.00888667,131.403
0.0318367,0.00313167,0.02667,0.00888667,131.917
0.031645,0.00341667,0.02667,0.00888667,132.287
0.0315483,0.00360667,0.02667,0.00888667,132.736
0.031405,0.004035,0.02667,0.00888667,134.303
0.0312617,0.004225,0.02667,0.00888667,134.567
0.0311667,0.00436833,0.02667,0.00888667,134.862
0.0310233,0.00465167,0.02667,0.00888667,135.789
0.0308317,0.00494,0.02667,0.00888667,136.519
0.03064,0.00532,0.02667,0.00888667,138.063
0.0304967,0.00546333,0.02667,0.00888667,138.184
0.030305,0.005655,0.02667,0.00888667,138.362
0.0301133,0.00579833,0.02667,0.00888667,138.111
0.029875,0.00589667,0.02667,0.00888667,136.988
0.0295417,0.00608833,0.02667,0.00888667,135.741
0.0293017,0.00628,0.02667,0.00888667,135.273
0.02916,0.006425,0.02667,0.00888667,135.328
0.02892,0.00661833,0.02667,0.00888667,134.768
0.0287783,0.00676167,0.02667,0.00888667,134.774
0.02854,0.006905,0.02667,0.00888667,133.339
0.0283017,0.00705,0.02667,0.00888667,131.617
0.0280633,0.007195,0.02667,0.00888667,129.476
0.0277767,0.00738667,0.01777,0.00888667,171.475
0.0275383,0.007485,0.01777,0.00888667,171.834
0.0273017,0.00758167,0.01777,0.00888667,172.204
0.0270633,0.00768,0.01777,0.00888667,172.602
0.026825,0.00777667,0.01777,0.00888667,173.011
0.02654,0.00792167,0.01777,0.00888667,173.721
0.0262067,0.00802167,0.01777,0.00888667,174.146
0.025875,0.00812,0.01777,0.00888667,174.596
0.02559,0.00817,0.01777,0.00888667,174.764
0.0253517,0.00817333,0.01777,0.00888667,174.625
0.02502,0.008225,0.01777,0.00888667,174.785
0.0248317,0.008275,0.01777,0.00888667,175.049
0.0245,0.00828,0.01777,0.00888667,174.849
0.0242617,0.00833,0.01777,0.00888667,175.099
0.0240233,0.00833333,0.01777,0.00888667,174.943
0.0238833,0.008335,0.01777,0.00888667,174.844
0.0235517,0.00834,0.01777,0.00888667,174.599
0.02341,0.00834167,0.01777,0.00888667,174.481
0.0230767,0.00834667,0.01777,0.00888667,174.19
0.0227483,0.00835167,0.01777,0.00888667,173.866
0.0224167,0.00835667,0.01777,0.00888667,173.493
0.0223233,0.00835667,0.01777,0.00888667,173.361
0.0219917,0.00836167,0.01777,0.00888667,172.911
0.0217083,0.008365,0.01777,0.00888667,172.455
0.021425,0.00837,0.01777,0.00888667,171.954
0.0211433,0.00837333,0.01777,0.00888667,171.347
0.0209067,0.00837667,0.01777,0.00888667,170.765
0.020575,0.00838167,0.01777,0.00888667,169.794
0.0202467,0.00838667,0.01777,0.00888667,168.586
0.0201067,0.00838833,0.01777,0.00888667,167.961
0.0196833,0.008395,0.00887833,0.00888667,177.395
0.0193533,0.00839833,0.00887833,0.00888667,177.331
0.0190233,0.00835667,0.00887833,0.00888667,177.009
0.0188367,0.00831333,0.00887833,0.00888667,176.705
0.0186017,0.00827,0.00887833,0.00888667,176.371
0.0184133,0.008225,0.00887833,0.00888667,176.03
0.0182717,0.00822667,0.00887833,0.00888667,175.981
0.0179883,0.008185,0.00887833,0.00888667,175.596
0.0178033,0.00818667,0.00887833,0.00888667,175.515
0.0175217,0.008145,0.00887833,0.00888667,175.096
0.01724,0.00814833,0.00887833,0.00888667,174.954
0.017005,0.00815167,0.00887833,0.00888667,174.832
0.0167717,0.00810833,0.00887833,0.00888667,174.368
0.0165833,0.00811167,0.00887833,0.00888667,174.256
0.016255,0.00811667,0.00887833,0.00888667,174.041
0.016115,0.00811833,0.00887833,0.00888667,173.939
0.0159283,0.00807333,0.00887833,0.00888667,173.419
0.0156467,0.00807833,0.00887833,0.00888667,173.189
0.0154133,0.008035,0.00887833,0.00888667,172.575
0.01518,0.00803833,0.00887833,0.00888667,172.333
0.0149467,0.00804167,0.00887833,0.00888667,172.073
0.014805,0.00804333,0.00887833,0.00888667,171.901
0.0144783,0.00804833,0.00887833,0.00888667,171.486
0.0142917,0.00805167,0.00887833,0.00888667,171.231
0.0140117,0.008055,0.00887833,0.00888667,170.797
0.013825,0.00805833,0.00887833,0.00888667,170.494
0.0136383,0.00806,0.00887833,0.00888667,170.148
0.01331,0.008065,0.00887833,0.00888667,169.496
0.0130317,0.00806833,0.00887833,0.00888667,168.854
0.0128,0.00811833,0.00887833,0.00888667,168.915
0.0126133,0.00816833,0.00887833,0.00888667,169.114
0.0123333,0.00821833,0.00887833,0.00888667,169.052
0.012055,0.008315,0.00887833,0.00888667,169.798
0.011775,0.00832,0.00887833,0.00888667,168.931
0.0114967,0.00837,0.00887833,0.00888667,168.837
0.0112633,0.00837333,0.00887833,0.00888667,167.853
0.0110317,0.00837667,0,0.00888667,177.353
0.0107067,0.00838167,0,0.00888667,177.3
0.0104267,0.008385,0,0.00888667,177.245
0.0101017,0.00839,0,0.00888667,177.185
0.00982333,0.00839333,0,0.00888667,177.125
0.00945333,0.00835167,0,0.00888667,176.761
0.00926833,0.008355,0,0.00888667,176.717
0.00903667,0.008265,0,0.00888667,176.065
0.00885,0.00826833,0,0.00888667,176.003
0.00852667,0.00822667,0,0.00888667,175.574
0.00824833,0.00823,0,0.00888667,175.448
0.00797167,0.008235,0,0.00888667,175.327
0.00783167,0.00823667,0,0.00888667,175.255
0.007555,0.00824,0,0.00888667,175.108
0.00727667,0.00824333,0,0.00888667,174.948
0.00704667,0.00824667,0,0.00888667,174.81
