59.128108066,10.273857240
59.127853773,10.273610320
59.127673622,10.273144503
59.127586858,10.272629150
59.127919553,10.272450849
59.128178076,10.272509912
59.128360902,10.272683610
59.128637652,10.272286824
59.128901513,10.271864571
59.129124689,10.271462083
59.129395007,10.271017046
59.129720739,10.270598885
59.130029662,10.270384028
59.130353571,10.270186376
59.130651602,10.269927799
59.130934812,10.269392563
59.131106042,10.268906671
59.131289788,10.268395296
59.131489561,10.267822082
59.131662142,10.267396649
59.131872061,10.266928724
59.132116539,10.266359988
59.132376991,10.265500996
59.132568235,10.265030235
59.132767454,10.264420525
59.132905792,10.263983950
59.133106093,10.263250027
59.133741202,10.262992659
59.134309995,10.262900161
59.134812351,10.262798274
59.135218543,10.262502208
59.135659707,10.262179810
59.136025602,10.262166927
59.136527072,10.261932821
59.137237340,10.262016161
59.137740886,10.262175819
59.138061113,10.262646055
59.138792648,10.263295258
59.139043621,10.263623083
59.139256625,10.264105421
59.139683947,10.264616425
59.139970500,10.264942595
59.140249655,10.265283667
59.140554483,10.265548041
59.140835551,10.265864170
59.141004325,10.266507039
59.140943500,10.267378433
59.140823077,10.268375639
59.140533870,10.269048358
59.140456377,10.270026048
59.140684470,10.270724253
59.140853992,10.271168779
59.140665614,10.271559613
59.140353184,10.272361236
59.140317768,10.273116672
59.140176309,10.273840441
59.140054651,10.274615017
59.139917647,10.275330725
59.139556904,10.275944247
59.139262941,10.276113760
59.138843714,10.276279185
59.138425021,10.276347008
59.138001636,10.276480783
59.137556997,10.276850003
59.137159585,10.277385432
59.137111432,10.278180590
59.137119376,10.279486730
59.136898534,10.280310850
59.136497786,10.280745052
59.136102691,10.281110612
59.135826171,10.281540230
59.135583325,10.282100837
59.135180599,10.282707606
59.134813263,10.283175752
59.134470106,10.283345834
59.134104739,10.283408961
59.133699207,10.283679201
59.133403246,10.283884853
59.133193353,10.283727856
59.133068529,10.283060499
59.132812249,10.282383784
59.132507386,10.282079365
59.132204259,10.281930404
59.131899698,10.281689523
59.131573431,10.281377684
59.131276969,10.280924196
59.131036385,10.280527720
59.130791862,10.280112870
59.130559492,10.279691819
59.130334319,10.279316518
59.130127622,10.278942793
59.129954217,10.278518071
59.129791858,10.277894065
59.129718745,10.277391802
59.129759739,10.276722501
59.129821636,10.276263545
59.129992458,10.275910511
59.130195436,10.276031910
59.130388943,10.275723375
59.130520513,10.275426061
59.130742362,10.275172888
59.130991884,10.274989362
59.131189294,10.274539966
59.131333985,10.274258720
59.131527854,10.274273250
59.131913576,10.274269923
