59.132380796,10.266475348
59.132460414,10.267163834
59.132525521,10.267701505
59.132659421,10.268227069
59.132863918,10.268653329
59.133162628,10.268633768
59.133482929,10.268466255
59.133877820,10.268604451
59.134298086,10.268706198
59.134714032,10.268854730
59.135037655,10.269112403
59.135471164,10.269533734
59.135793702,10.269890349
59.136144318,10.270139901
59.136590571,10.270160189
59.137072118,10.270217554
59.137550953,10.270238420
59.137969972,10.270099634
59.138363971,10.269957036
59.138638195,10.269829737
59.138904243,10.269684706
59.139265508,10.269642296
59.139581697,10.269751106
59.139905451,10.269932546
59.140208096,10.270135709
59.140433329,10.270496409
59.140585031,10.271071261
